status	axis	repo	path	files	bytes	note
OK	workflow	gmapsscraper/google-maps-agent-skills	research/repos/workflow/gmapsscraper__google-maps-agent-skills	17	252K	
OK	workflow	GonzaloTorreras/HubSpot-Developer-Extension	research/repos/workflow/GonzaloTorreras__HubSpot-Developer-Extension	57	2588K	
OK	workflow	gooseworks-ai/goose-skills	research/repos/workflow/gooseworks-ai__goose-skills	1072	16268K	
OK	workflow	gquthier/autonomous-cold-email	research/repos/workflow/gquthier__autonomous-cold-email	27	292K	
OK	workflow	GTMify/aigtm	research/repos/workflow/GTMify__aigtm	206	1644K	
OK	workflow	GympassJC/ZoomInfoApi	research/repos/workflow/GympassJC__ZoomInfoApi	1	128K	
OK	workflow	harshvardhankulkarni/zoho-crm-ai-sales-agent	research/repos/workflow/harshvardhankulkarni__zoho-crm-ai-sales-agent	27	1064K	
OK	workflow	henriquecaner/hormozi-gtm	research/repos/workflow/henriquecaner__hormozi-gtm	87	1064K	
OK	workflow	himanshub16/outbound-go	research/repos/workflow/himanshub16__outbound-go	563	11896K	
OK	workflow	hitb1099/outreach-os	research/repos/workflow/hitb1099__outreach-os	10	204K	
OK	workflow	Hrithik2S/linkedin-lead-generation	research/repos/workflow/Hrithik2S__linkedin-lead-generation	3	4592K	
OK	workflow	HubSpot/agent-cli	research/repos/workflow/HubSpot__agent-cli	2	3128K	
OK	workflow	HubSpot/transmute	research/repos/workflow/HubSpot__transmute	236	5044K	
OK	workflow	ibrahimneon/sales-forecasting-python	research/repos/workflow/ibrahimneon__sales-forecasting-python	4	652K	
OK	workflow	ig1151/lead-enrichment-api	research/repos/workflow/ig1151__lead-enrichment-api	22	560K	
SKIP	workflow	iPythoning/b2b-sdr-agent-template	research/repos/workflow/iPythoning__b2b-sdr-agent-template	165	3352K	already present
OK	workflow	iPythoning/b2b-sdr-hermes-skill	research/repos/workflow/iPythoning__b2b-sdr-hermes-skill	22	396K	
OK	workflow	iqbalexperience/hubspot-agent	research/repos/workflow/iqbalexperience__hubspot-agent	57	1264K	
OK	workflow	IsaacBell/leads-db	research/repos/workflow/IsaacBell__leads-db	11937	569288K	
OK	workflow	ivangfalco/claude-code-frameworks	research/repos/workflow/ivangfalco__claude-code-frameworks	5	196K	
OK	workflow	ivangfalco/revenue-engine	research/repos/workflow/ivangfalco__revenue-engine	4	228K	
SKIP	workflow	jacob-dietle/Autonomous-Sales-Inbox-and-CRM-Assistant	research/repos/workflow/jacob-dietle__Autonomous-Sales-Inbox-and-CRM-Assistant	14	372K	already present
OK	workflow	jalexspringer/zoominfo_api	research/repos/workflow/jalexspringer__zoominfo_api	15	276K	
OK	workflow	jamorosino/hubspot-agent	research/repos/workflow/jamorosino__hubspot-agent	5	148K	
OK	workflow	jarosser06/example_call_analysis	research/repos/workflow/jarosser06__example_call_analysis	7	268K	
OK	workflow	jeffgreendesign/lead-enrichment-api	research/repos/workflow/jeffgreendesign__lead-enrichment-api	62	620K	
OK	workflow	JohnEvansOkyere/lead-generation-and-cold-email-automation	research/repos/workflow/JohnEvansOkyere__lead-generation-and-cold-email-automation	3	420K	
